Task, EnvSteps, PPO, SAPG, CPO
AllegroKuka Two-Arm Reorientation, 5G, 0.370±0.246, 0.891±1.082, 6.694±3.717*
, 10G, 0.605±0.225, 1.971±1.041, 23.692±5.505*
, 15G, 0.902±0.240, 2.845±0.149, 32.543±2.889*
, 20G, 1.397±0.781, 5.086±3.389, 35.176±2.832*
,,
Humanoid, 2.5G, 8272.041±1027.621 , 7913.756±914.376 , 8737.471±601.118 ,
, 5.0G,  8412.216± 961.665 , 8688.799±1166.756 ,  9125.145±729.670 ,
, 7.5G, 8243.128±1001.988 , 9178.099±1089.376 , 9094.527±685.830 ,
, 10G,  8405.807±1024.569 , 9452.379±954.245 , 9544.127±623.939 ,
,,,
Anymal, 1.25G, 67.2±1.5, 68.6±0.7, 67.7±1.0
, 3.75G, 64.7±2.2, 69.3±1.7, 67.5±2.1
, 5.0G, 66.3±1.1, 69.3±1.4, 68.0±1.4
, 7.5G, 67.4±2.3, 69.2±1.6, 70.8±0.1
