Task,EnvSteps,SAPG,CPO(0.5),CPO(0.2),CPO(0.1),CPO(0.05)
Shadow Hand,5G,10969±591,11210±563,11939±338,11368±697,11316±243
,10G,12080±520,12443±350,13130±177,12594±464,12650±382
,15G,12553±512,13060±428,13534±150,13161±448,13182±307
,20G,12877±479,13375±451,13851±157,13398±547,13406±292
,,,,,,
AllegroKuka Reorientation,5G, 9.5±7.0, 29.4±4.3, 29.3±7.0, 32.9±0.5, 28.3±7.7
,10G, 29.9±2.4, 37.8±2.6, 39.8±2.1, 39.5±0.8, 37.7±2.99
,15G, 36.3±0.8, 41.0±2.5, 41.0±2.4, 40.7±0.7, 40.0±2.8
,20G, 39.3±0.8, 42.6±2.1, 41.6±1.3, 41.1±0.2, 39.9±2.7
,,,,,,

