Task,EnvSteps,F1,F2,F3,F4,F5,L,Mean
ShadowHand,SAPG,3.23e-03,2.64e-03,5.44e-04,1.56e-02,6.31e-03,4.94e-04,3.95e-03
,CPO(0.5),5.80e-03,1.75e-05,4.34e-03,7.32e-04,3.62e-03,1.00e-04,2.09e-03
,CPO(0.2),7.24e-04,7.88e-04,2.32e-03,2.30e-03,2.87e-03,4.97e-04,1.59e-03
,CPO(0.1),6.31e-04,2.60e-03,2.11e-03,1.42e-03,1.57e-05,6.18e-04,1.25e-03
,CPO(0.05),4.37e-05,9.33e-04,8.00e-04,8.85e-05,5.03e-04,1.37e-03,6.26e-04
,,,,,,,
AllegroKuka Reorientation,SAPG,1.00e+00,3.47e-03,7.55e-04,1.44e-05,6.99e-04,7.98e-04,1.01e-01
,CPO(0.5),1.06e-03,2.85e-03,1.47e-03,1.71e-03,5.22e-03,3.06e-04,2.11e-03
,CPO(0.2),1.36e-03,1.89e-03,2.08e-03,1.33e-03,3.82e-03,8.52e-04,1.87e-03
,CPO(0.1),2.27e-03,1.13e-03,1.77e-03,2.04e-03,2.86e-03,5.72e-04,1.61e-03
,CPO(0.05),1.68e-03,3.68e-04,3.67e-04,1.60e-03,3.18e-03,1.12e-03,1.26e-03
,,,,,,,
